trial,target_snr,burst_type,raw_detected,residual_detected,raw_excess_power,residual_excess_power,overlap,normalized_recovery_error,preserved
0,4.0,ringdown,True,True,97763.2,3.15776e+09,0.99993,0.0118775,True
1,4.0,sine_gaussian,True,True,17855.2,2.91975e+08,0.999573,0.0293185,True
2,4.0,white_noise_burst,True,True,12117.3,2.21444e+08,0.998722,0.050627,True
3,4.0,ringdown,True,True,100582,2.69927e+09,0.999819,0.0190994,True
4,4.0,white_noise_burst,True,True,11561.5,1.92163e+08,0.998883,0.0472972,True
5,4.0,white_noise_burst,True,True,17068.6,3.48894e+08,0.99926,0.0384717,True
6,4.0,sine_gaussian,True,True,33287.7,7.72752e+08,0.999788,0.0206532,True
7,4.0,white_noise_burst,True,True,22757.2,4.6473e+08,0.999395,0.0348546,True
8,4.0,ringdown,True,True,91148.3,2.2401e+09,0.999767,0.0230021,True
9,4.0,ringdown,True,True,123218,3.21879e+09,0.999854,0.0171105,True
10,4.0,ringdown,True,True,102456,2.60675e+09,0.99984,0.0194651,True
11,4.0,sine_gaussian,True,True,30293,5.165e+08,0.999652,0.026392,True
12,4.0,white_noise_burst,True,True,18232.3,4.20088e+08,0.999474,0.032474,True
13,4.0,white_noise_burst,True,True,14682.6,3.57334e+08,0.99911,0.0422106,True
14,4.0,ringdown,True,True,111408,3.11808e+09,0.999827,0.0185925,True
15,4.0,ringdown,True,True,106793,2.80087e+09,0.999843,0.0182511,True
16,4.0,sine_gaussian,True,True,32958.3,7.67821e+08,0.999791,0.0207302,True
17,4.0,ringdown,True,True,129017,3.46952e+09,0.999889,0.0151175,True
18,4.0,white_noise_burst,True,True,55016.8,1.46857e+09,0.99973,0.023293,True
19,4.0,ringdown,True,True,122802,3.61394e+09,0.999907,0.0137102,True
20,4.0,white_noise_burst,True,True,39398.5,1.10479e+09,0.999623,0.027504,True
21,4.0,sine_gaussian,True,True,40161.9,8.89167e+08,0.999861,0.0169061,True
22,4.0,sine_gaussian,True,True,21175,3.47041e+08,0.999435,0.0339024,True
23,4.0,sine_gaussian,True,True,30409.8,6.6038e+08,0.999756,0.0220934,True
24,4.0,ringdown,True,True,99619.7,2.78579e+09,0.999875,0.0160839,True
25,4.0,white_noise_burst,True,True,11936.5,2.24043e+08,0.998075,0.0622059,True
26,4.0,white_noise_burst,True,True,40004.7,9.47392e+08,0.999394,0.0348339,True
27,4.0,ringdown,True,True,109265,3.07821e+09,0.999863,0.016662,True
28,4.0,sine_gaussian,True,True,22204.5,4.0453e+08,0.999654,0.0263025,True
29,4.0,ringdown,True,True,110703,2.92395e+09,0.999851,0.0173818,True
30,4.0,white_noise_burst,True,True,16744.1,3.37136e+08,0.998834,0.0482849,True
31,4.0,white_noise_burst,True,True,34789.6,6.74459e+08,0.99914,0.0414913,True
32,4.0,sine_gaussian,True,True,25843.6,4.86778e+08,0.999714,0.0251834,True
33,4.0,ringdown,True,True,131926,3.77926e+09,0.999872,0.0294498,True
34,4.0,ringdown,True,True,113101,3.07125e+09,0.999854,0.0173665,True
35,4.0,sine_gaussian,True,True,32388.6,7.0998e+08,0.999735,0.0230322,True
36,4.0,sine_gaussian,True,True,17706.7,3.23407e+08,0.999632,0.0271539,True
37,4.0,sine_gaussian,True,True,39350.7,8.65397e+08,0.999757,0.0221211,True
38,4.0,ringdown,True,True,112210,2.86379e+09,0.999847,0.0175217,True
39,4.0,sine_gaussian,True,True,17925.4,2.96211e+08,0.999579,0.0290627,True
