gps_time,detector,label,ml_confidence,snr,peak_frequency,source
1239371924.692,H1,Blip,0.9998,11.82,170.653900146484,GravitySpy_H1_O3a_Zenodo5649212
1240878869.887,H1,Blip,0.9997,24.62,217.740966796875,GravitySpy_H1_O3a_Zenodo5649212
1242792257.370,H1,Blip,1.0000,41.22,411.865447998047,GravitySpy_H1_O3a_Zenodo5649212
1243254841.282,H1,Blip,0.9998,11.74,142.362854003906,GravitySpy_H1_O3a_Zenodo5649212
1243293663.069,H1,Blip,1.0000,15.08,176.063125610352,GravitySpy_H1_O3a_Zenodo5649212
1244564321.366,H1,Blip,0.9999,13.33,142.362854003906,GravitySpy_H1_O3a_Zenodo5649212
1246898570.478,H1,Blip,0.9997,37.10,176.063125610352,GravitySpy_H1_O3a_Zenodo5649212
1249479714.929,H1,Blip,0.9956,12.45,142.362854003906,GravitySpy_H1_O3a_Zenodo5649212
1251220303.702,H1,Blip,1.0000,15.02,217.740966796875,GravitySpy_H1_O3a_Zenodo5649212
1251490337.884,H1,Blip,0.9561,10.79,142.362854003906,GravitySpy_H1_O3a_Zenodo5649212
1244427965.938,H1,Extremely_Loud,0.9780,53.88,36.6504516601562,GravitySpy_H1_O3a_Zenodo5649212
1244953365.312,H1,Extremely_Loud,0.9929,44.26,29.4184398651123,GravitySpy_H1_O3a_Zenodo5649212
1245103735.938,H1,Extremely_Loud,0.9731,32.80,25.5066509246826,GravitySpy_H1_O3a_Zenodo5649212
1245112246.562,H1,Extremely_Loud,0.9504,44.24,31.0353698730469,GravitySpy_H1_O3a_Zenodo5649212
1245113035.625,H1,Extremely_Loud,0.9800,50.71,34.9596710205078,GravitySpy_H1_O3a_Zenodo5649212
1246653368.062,H1,Extremely_Loud,0.9975,38.42,28.8983993530273,GravitySpy_H1_O3a_Zenodo5649212
1249410598.125,H1,Extremely_Loud,0.9592,52.55,32.4151611328125,GravitySpy_H1_O3a_Zenodo5649212
1249529442.875,H1,Extremely_Loud,1.0000,40.36,22.8538608551025,GravitySpy_H1_O3a_Zenodo5649212
1251963827.203,H1,Extremely_Loud,1.0000,47.88,25.0479507446289,GravitySpy_H1_O3a_Zenodo5649212
1253809334.375,H1,Extremely_Loud,1.0000,18.62,31.5094699859619,GravitySpy_H1_O3a_Zenodo5649212
1239370371.199,H1,Koi_Fish,1.0000,59.07,47.1237487792969,GravitySpy_H1_O3a_Zenodo5649212
1239696852.889,H1,Koi_Fish,0.9992,56.68,72.3655624389648,GravitySpy_H1_O3a_Zenodo5649212
1241643373.826,H1,Koi_Fish,0.9897,59.51,93.0793228149414,GravitySpy_H1_O3a_Zenodo5649212
1242462962.760,H1,Koi_Fish,0.9981,53.62,75.2629928588867,GravitySpy_H1_O3a_Zenodo5649212
1242573014.018,H1,Koi_Fish,0.9643,33.65,49.2082595825195,GravitySpy_H1_O3a_Zenodo5649212
1244052348.058,H1,Koi_Fish,0.9777,41.03,115.113151550293,GravitySpy_H1_O3a_Zenodo5649212
